"Code","NUTS2","NUTS2_Name","COUNTRY","LF_113- GDP","LF_113 - GDP/capita","LF_211 - Recreational opportunities potential","LF_311 - Water consumption","LF_312 - Water productivity","LF_321 - Food and feed production","LF_331 - Biomass harvested from energy crops","LF_332 - Energy content of dedicated energy crops","LF_411 - Share  of residential areas over the total land area","LF_412 - Residential areas per person","LF_413 - Urban Sprawl","LF_415 - Population density","LF_421 - Share of industrial/commercial areas","LF_422 - Industrial economic output per unit of industrial/commercial area","LF_431 - Share of built-up areas over the total land","LF_432 - Productivity of built-up areas","LF_433 - Built-up  per person","LF_441 - Potential accessibility","LF_442 - Network efficiency","LF_443 - Local accessibility (Travel time to nearest city)","LF_444 - Daily accessibility (Amount of people reached within 4 hours)","LF_511- NO2 removal by urban vegetation","LF_521 - Capacity of ecosystems to avoid soil erosion","LF_522 - Soil retention","LF_524 - Water Retention","LF_531 - Relative pollination potential","LF_532 - C-stock changes","LF_612a - Habitat quality for common birds","LF_612b - Habitat quality for forest birds","LF_612c - Habitat quality for farmland birds","LF_621 - Proportion of Green Infrastructure","LF_622 - Green Infrastructure fragmentation","Year","POPULATION"
"470","EE0","ESTONIA","Estonia",92.95,44.68,109.18,102.5,95.35,25,NA,NA,18.29,121.88,96.15,68.42,31.9,14.73,38.74,27.33,137.16,6.32,78.51,13.1,6.27,143.21,103.04,91.31,127.99,95.2,100,110.76,106.6,126.95,155.01,118.89,2010,1340141
"472","EE00","Eesti","Estonia",92.95,44.68,109.18,102.5,95.35,25,NA,NA,18.29,121.88,96.15,68.42,31.9,14.73,38.74,27.33,137.16,6.32,78.51,13.1,6.27,143.21,103.04,91.31,127.99,95.2,100,110.76,106.6,126.95,155.01,118.89,2010,1340141
"569","FI","FINLAND (CNT)","Finland",41.2,144.58,131.39,95.84,130.61,2.81,NA,NA,21.23,166.8,97.58,11.46,0,77.45,16.28,77.41,163.87,4.22,46.85,11.11,5.6,155.58,104.74,4.6,96.28,48.61,100,100.98,99.56,101.57,171.63,1.25,2010,13125523
"571","FI0","FINLAND","Finland",96.92,153.04,132.89,92.77,104.37,3.04,NA,NA,33.55,194.47,99.21,65.66,30.63,71.25,51.02,70.76,191.2,5.04,65.62,15.06,6.48,201.12,103.64,90.36,83.47,58.42,100,113.82,115.85,100.75,188.43,89.73,2010,5351427
"576","FI19","Lansi-Suomi","Finland",103,126.06,119.16,97.43,103.16,3.26,NA,NA,26.51,257.2,104.03,60.61,19.14,42.37,38.74,44.03,241.41,4.55,73.88,14.03,7.35,161.31,103.68,91.53,91.1,51.92,100,111.94,111.83,114.81,188.51,85.34,2010,1357057
"585","FI1B","Helsinki-Uusimaa","Finland",105.23,161.88,117.69,96.19,104.93,5.43,NA,NA,78.41,113.98,100.97,98.72,82.95,115.48,116.21,107.81,124.82,9.21,67.71,20.47,10.42,191.61,103.78,90.62,84.57,54.09,100,125.97,130.2,105.21,167.91,91.94,2010,1334517.5
"587","FI1C","Etela-Suomi","Finland",105.23,161.88,122.39,96.53,104.73,5.43,NA,NA,31.9,166.3,106.88,73.47,31.9,43.66,61.4,80.47,167.57,6.15,69.88,15.83,8.65,169.35,103.78,90.48,85.58,49.76,100,113.44,115.78,105.43,181.23,89.38,2010,1334517.5
"592","FI1D","Pohjois- ja Ita-Suomi","Finland",101.21,110.52,138.82,96.76,102.95,0,NA,NA,4.82,166.88,84.76,35.82,6.38,42.37,0,54.66,169.85,1.53,72.9,5.35,1.68,152.47,104,93.1,102.64,58.42,100,101.44,97.2,105.32,204.74,84.13,2010,1297755
"598","FI20","Aland","Finland",69.93,204.87,166.41,76.93,106.07,1.09,NA,NA,26.09,268.01,99.43,59.69,12.76,112.38,38.74,66.81,252.38,3.75,43.75,19.61,4.3,330.88,102.94,86.08,53.45,77.89,100,116.33,124.22,72.97,199.75,97.88,2010,27580
"601","FR","FRANCE (CNT)","France",435.08,126.26,99.27,111.48,100.56,152.98,NA,NA,93.4,102.56,107.87,84.5,100,121.75,81.4,112.2,98.7,151.4,132.43,197.01,141.17,81.88,101.82,111.45,104.33,93.9,100,100.98,101.11,102.41,79.55,20.23,2010,7563710
